username,password,chest_password
pirate01,iks57au2wk,EDWARD LOW
pirate02,0shbhjm4sv,JEAN FLEURY
pirate03,946baicbiz,THOMAS WHITE
pirate04,uaya9gfmsk,HENRY AVERY
pirate05,afqtfsw3f9,BARTHOLOMEW ROBERTS
pirate06,vrc6yyi44z,SAMUEL BELLAMYCHARLES VANE
pirate07,xnsfkvludf,THOMAS TEW
pirate08,8delne01ob,JOHN BOWEN
pirate09,hjgnb6k2ty,HENRY MORGAN
pirate10,5ar44ojbua,JOHN HAWKINS
pirate11,e4rotl6k6z,JEAN FLEURY
pirate12,w1upemq7c2,SAMUEL BELLAMYCHARLES VANE
pirate13,628y1k3kvh,JOHN HAWKINS
pirate14,huh4gq1sho,HENRY AVERY
pirate15,k5h5zbvjdh,THOMAS WHITE
pirate16,khdfwg1ojl,THOMAS TEW
pirate17,23c6c7rj5e,HENRY MORGAN
pirate18,2bnf6ts9e4,BARTHOLOMEW ROBERTS
pirate19,8rnrejhb16,EDWARD LOW
pirate20,uruxkvjrqz,JOHN BOWEN
pirate21,mnyf357w88,FRANCIS DRAKE
pirate22,ydiid3ckll,CALICO JACK
pirate23,xi6fhhqf3s,CHARLOTTE DE BARRY
pirate24,cl5sh088px,STEDE BONNET
pirate25,ka9bw95m5a,EDWARD TEACH
pirate26,ijzik3d4zr,STEDE BONNET
pirate27,6adeter6fl,CHARLOTTE DE BARRY
pirate28,gnbk98gkt6,FRANCIS DRAKE
pirate29,3h1rn2ebea,CALICO JACK
pirate30,slxw63ucve,EDWARD TEACH
pirate31,kawl4dysmp,WILLIAM KIDD
pirate32,aorcmrhaxo,HAYREDDIN BARBAROSSA
pirate33,r89kgpibw2,BARTHOLOMEW PORTUGUES
pirate34,vvofus2b4y,MAGNUS HEINASON
pirate35,cc3goeugn7,JOHN CRABBE
pirate36,ppuwskn6p1,WILLIAM KIDD
pirate37,fgnnndmuju,HAYREDDIN BARBAROSSA
pirate38,7yhhkew9jk,JOHN CRABBE
pirate39,4e7uxw1rjb,MAGNUS HEINASON
pirate40,7wpuipe79p,BARTHOLOMEW PORTUGUES
